# Scam Domains — Full Network Inventory
# Last updated: 2026-04-12
# Sources: OSINT sessions 2026-03-27, 2026-03-28, 2026-03-29, 2026-04-12
# Format: url | cluster | notes

# ── FMT CAPITAL CLUSTER ─────────────────────────────────────────────────────
https://fmtcapitaltc.com | FMT Capital | Fake MT5 broker; UWORK PBaaS kit; ThinkPHP; FCA+CFTC warned; Cloudflare; origin CTG HK
https://broker.fmtcapitaltc.com | FMT Capital | Admin/manager panel; SQLi confirmed; admin:000000 MD5; captcha+2FA
https://broker.fmtcapitaltc.com/admin/login | FMT Capital | Admin login page
https://broker.fmtcapitaltc.com/De/Info?id=5 | FMT Capital | CONFIRMED boolean-blind SQLi injection point
https://trader.fmtcapitaltc.com | FMT Capital | Victim CRM / trading portal; 8 languages; KYC upload
https://trader.fmtcapitaltc.com/reg/real | FMT Capital | KYC registration with ID upload
https://trader.fmtcapitaltc.com/upload/image | FMT Capital | Pre-auth file upload endpoint; SVG XSS confirmed
https://financetradecapital.com | FMT Capital | Companion domain (Farouk Tamer OSINT)
https://app.appsetup.vip/app/mt5.ipa | FMT Capital | Fake MT5 iOS IPA (15,723,712 bytes)

# ── CTG SERVER HK (202.79.174.5) — JAPANESE FSA FAKES ──────────────────────

# ── CTG SERVER HK (202.79.174.5) — JAPANESE SECURITIES TYPOSQUATS ──────────

# ── CTG SERVER HK (202.79.174.5) — INTERNATIONAL FINANCE TYPOSQUATS ────────

# ── AZTEX OPERATION ──────────────────────────────────────────────────────────
https://2139exchange.com | AZTEX | Same Porkbun NS as aztex.eu; VEESP Latvia; CONSOB Italy blacklisted Oct 2024
https://2139.nl | AZTEX | Domain variant (dead)
https://wealthcommunities.com | AZTEX | Associated domain

# ── BIPPAX / SPIRITUAL WEALTH OPERATION ─────────────────────────────────────
https://coinbf.com | BIPPAX | Associated exchange
https://jayen-consulting.com | BIPPAX | Associated consulting front

# ── PIPGAINERS / SERVIKUS CLUSTER ────────────────────────────────────────────
https://pipgainers.com | Servikus | Shared Servikus cPanel hub; 174 certs since 2025-04-22
https://elevateglobalmarkets.com | Servikus | Most recent domain 2026-03-24; Servikus/Registrar.eu
https://luxeracapitalpro.com | Servikus | Backend API host for Servikus cluster; support@luxeracapital.com; fake phone (579)392-9657; GTM-WXDNBW6N; Tawk 6952bdac0c14261985ec019c; MetaMask/Web3 login; Laravel; PWA theme #5900b3
https://econtrader.net | Servikus | Servikus cluster
https://profitpeakcapital.com | Servikus | Servikus cluster
https://toppairassets.com | Servikus | Servikus cluster
https://pioneerfinancescu.com | Servikus | Servikus cluster
https://managementofficial.com | Servikus | Servikus cluster
https://acseinvestmentsllc.com | Servikus | Servikus cluster

# ── DACM / BISSNEX CHAIN ─────────────────────────────────────────────────────
https://dacm-crypto.top | DACM | bissnex.com→DacmCrypto→dacm-crypto.top chain; Russian Selectel servers
https://mumuex.org | DACM | DACM chain

# ── MALAYSIA / GOASSET CLUSTER ───────────────────────────────────────────────

# ── MISC / UNCLASSIFIED ──────────────────────────────────────────────────────
https://muskfoundationpartners.org | Misc | Musk Foundation fake; SHARE-DNS
https://myctgs.com | Misc | CTG Server management domain
